"product_id","community_id"
"AUC1696664227693","29515"
"AUC9318859661367","28434"
"HAO6716941262554","31351"
"DRF1696365930857","11221"
"ZJC2009718181177","46512"
"AUC3094814788022","9175"
"HAO6735979041092","29854"
"AUC1695718024564","5662"
"OVO3548326909920","41813"
"AUC9459393621285","18298"
"VID3026116520147","45933"
"HUR7848337310347","2100"
"AUC4025621854982","24315"
"HAO6781561113999","29854"
"AUT6713166339115","34620"
"TMI7019284336630","11221"
"MEN8683342766319","12602"
"AUC4132127733922","14680"
"AUC5772974883921","17114"
"BET1685168860652","51931"
"OVO3041831778154","45933"
"VGE2007957631750","46512"
"AUC1695722404302","34620"
"SUR7861358924706","49865"
"OMA7388441190102","3817"
"PWS1688010199796","49865"
"QQM1687838590929","43790"
"AUC2008572175346","34249"
"AUC1696680164671","33972"
"MOT1688994118146","17114"
"ATY1686652655712","14101"
"QQM1689562531305","49865"
"OMA7388441318346","3817"
"PWS1686285824240","49865"
"AUC1695667810745","5662"
"HAO6772033892672","29854"
"AUC5056395301234","46512"
"HAO6767200713386","29854"
"SUR7314626092985","43790"
"AUC0788033463893","46512"
"VGE1696183713793","14101"
"PWS1695031027407","39142"
"VID8720845733681","50790"
"DIO7334379396307","43814"
"AKO7867916843113","32161"
"QQM1692236335292","40959"
"HAO6758119023901","31351"
"AUC0748806366714","46512"
"YOS7063372864642","32161"
"DIO7734921217935","17114"
"SUR7375280326762","41813"
"CIK7400038570545","35448"
"MEN8683342445726","32161"
"ZJC2009718189296","46512"
"AUC0705989275141","18298"
"HAO6724216497112","5662"
"AUC3663556269184","28367"
"AUC3663556268323","5914"
"AUC3700746497146","45582"
"QQM7405144366518","43790"
"ATY1696412184670","3466"
"ZJC7434408696917","14101"
"ITA1690241389680","5914"
"INS0854136300103","46512"
"DRF1695372412066","35448"
"ITA3663556355887","25274"
"ITA3663556334288","33866"
"DREAMBIKINIGR","23842"
"BES1688566828295","12945"
"VID8720286067956","32161"
"AUC9424136121308","45933"
"AUC3760320174641","3466"
"MEU2008813786591","12602"
"MEN3327480010266","41813"
"DMO8052773561150","11489"
"VID4097057988760","45933"
"YOS7633903126657","42927"
"TRU3662345028179","11221"
"AUC0720047401409","12602"
"AUC3701521814912","12602"
"AUC5026493278387","32161"
"ZJC7902196759010","9268"
"LIS1688566788757","12945"
"AUC2008243998496","17114"
"AUC8243898530071","17114"
"AUC3701521806085","12602"
"ATY1699286773365","23842"
"AUC5448326011433","17114"
"VEN3517920872756","10283"
"YOS7697288353879","42927"
"LIS1688566856574","47753"
"AUC5498630562565","17114"
"AUC7067604252306","28513"
"FDI0747333608694","11221"
"AUC3701115105532","44977"
"AUC2007964449652","32309"
"LVL2007959724764","11221"
"AUC7010690051223","28434"
"YOS7434407569885","42927"
"ATY1686717768288","17620"
"AUC3701115104993","44977"
"YOS7633903126541","42927"
"AUC1696596780283","45777"
"AUC9095254196990","18298"
"AUC8334826535029","32161"
"OVO3723308645595","28513"
"DRF1696629549970","3466"
"FOR7061255083050","12602"
"AUC8139329662568","32309"
"AUC9386400358813","41813"
"ZJC7029241858686","11221"
"AUC3663556272818","35182"
"AUC8347813552411","28513"
"HUR2007841841432","11221"
"FYD1696138553247","14101"
"COS0783501203674","28513"
"AUC5453956270532","45933"
"DUO9426754196003","11221"
"EST1689230405973","14101"
"VID8720286632741","45391"
"PWS1686047032439","49865"
"AUC9399438795116","28513"
"NON3000213627619","6893"
"DUE5903814783983","12602"
"LIS1693361118644","12945"
"AUC2008231058812","17114"
"FOR7061255224392","45582"
"AUC1695713257564","9536"
"AUC8716085348075","28513"
"AUC4343231421845","45582"
"AUC4946532743519","17114"
"ITA3663556467504","5914"
"LAN8424002029661","23763"
"VGE1696018954182","43814"
"KEE1698357576496","3466"
"FDI2007858984528","32309"
"MIC5903614187004","12739"
"YOS7066690061281","42927"
"AUC1695658510309","9536"
"WOV5712884121447","46512"
"OVO7300777473421","41813"
"AUC9388565462657","17114"
"EBT2008042582025","41813"
"DUO9459391812586","51269"
"AUC7530929101920","14680"
"DIO1687624864257","17114"
"AUC1696669213766","5662"
"INS3663556243252","33866"
"VBE7541523486665","14101"
"FUN1692080332820","18298"
"AUC7384002881496","45933"
"ATY1694650635062","9268"
"SUR7375280327011","51269"
"HOM1686056924970","12602"
"FDI1686076821645","41813"
"VGE1693547954705","35448"
"AUC1687340030125","2525"
"AUC5011607724522","17114"
"ALT3663738024358","11221"
"AUC3663556272955","35182"
"MIC5903614365112","11489"
"VGE7330716572304","3466"
"AUC4025621846260","45582"
"DRF7078494198223","30775"
"TMI7656193554429","4505"
"VEN3666471012224","10283"
"CIK7734919882152","9268"
"MIC5903614961710","49266"
"MIC5905389092798","39261"
"OVO8386176837384","17114"
"GOT1685080940277","29854"
"AUC1696596776032","23013"
"VEN3666471012613","45582"
"MIC5903614375432","11489"
"SAL1692597278633","45582"
"OVO3233593995683","14680"
"ZJC7686514945452","17114"
"ATY1698937918798","23104"
"VEN3517920599516","45582"
"HOM5903814783099","12602"
"ROK1685352414493","29854"
"FDI1698357287715","11221"
"OVO4002653900900","17114"
"VGE1696180422850","41813"
"INS0854136003547","46512"
"YOS1686357556633","30775"
"PWS1695031441960","39142"
"AUC6916260886596","32161"
